Year,Tms,FGA,FGM,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg,Pnt,Yds,Blck,Y/P
2020,32,1.9,1.6,84.60%,2.6,2.4,93.00%,2757,171876,1687,61.20%,62.3,3.7,169.4,0,45.6
2019,32,1.9,1.6,81.60%,2.4,2.2,93.90%,2603,162335,1585,60.90%,62.4,4.2,190.6,0,45.2
2018,32,1.8,1.6,84.70%,2.4,2.3,94.30%,2634,164869,1601,60.80%,62.6,4.3,194.4,0,45
2017,32,2,1.7,84.30%,2.2,2.1,94.00%,2473,154144,1413,57.10%,62.3,4.8,216.6,0,45.4
2016,32,2,1.7,84.20%,2.3,2.2,93.60%,2632,164751,1516,57.60%,62.6,4.6,206.8,0,45.3
2015,32,1.9,1.6,84.50%,2.4,2.2,94.20%,2627,166348,1470,56.00%,63.3,4.8,215.5,0,45.2
2014,32,1.9,1.6,84.00%,2.4,2.4,99.30%,2607,165670,1311,50.30%,63.5,4.7,208.8,0,44.8
2013,32,1.9,1.7,86.50%,2.5,2.5,99.60%,2684,169138,1309,48.80%,63.0,4.9,221.9,0,45
2012,32,2,1.7,83.90%,2.4,2.4,99.50%,2620,165870,1156,44.10%,63.3,4.8,219.4,0,45.5
2011,32,2,1.6,82.90%,2.4,2.3,99.40%,2565,163058,1117,43.50%,63.6,4.9,218.8,0,45
2010,32,1.9,1.6,82.40%,2.4,2.3,99.10%,2538,161153,416,16.40%,63.5,4.8,209,0,43.4
2009,32,1.8,1.5,81.30%,2.3,2.3,98.30%,2482,159129,400,16.10%,64.1,4.8,210.9,0,44.1
2008,32,2,1.7,84.50%,2.3,2.3,99.50%,2534,161029,368,14.50%,63.5,4.5,197.9,0,43.9
2007,32,1.9,1.6,82.80%,2.3,2.3,99.00%,2490,154231,307,12.30%,61.9,4.6,199.6,0,43.4
2006,32,1.8,1.5,81.40%,2.2,2.2,99.00%,2392,151489,311,13.00%,63.3,4.9,211.1,0,43.4
2005,32,1.9,1.5,81.00%,2.2,2.1,98.70%,2240,138465,209,9.30%,61.8,4.9,208.6,0,42.5
2004,32,1.7,1.4,80.80%,2.3,2.3,99.20%,2363,144413,205,8.70%,61.1,4.9,206.8,0,42
2003,32,1.9,1.5,79.20%,2.2,2.2,98.40%,2364,144142,176,7.40%,61.0,5,205.7,0,41.3
2002,32,1.9,1.4,77.50%,2.3,2.2,98.50%,2369,144246,186,7.90%,60.9,4.8,197.4,0,41.3
2001,31,1.9,1.5,76.30%,2.1,2,98.10%,2251,137242,212,9.40%,61.0,5,210.5,0,42.1
2000,31,1.8,1.5,79.70%,2.1,2.1,99.10%,2256,138879,209,9.30%,61.6,5,208.7,0,41.9
1999,31,1.9,1.5,77.70%,2.1,2.1,98.90%,2365,145491,239,10.10%,61.5,5.2,217.6,0,41.9
1998,30,1.9,1.5,79.60%,2.2,2.1,98.30%,2306,148541,374,16.20%,64.4,5.1,220.8,0,43.4
1997,30,1.9,1.5,78.10%,2.1,2.1,98.60%,2282,144736,316,13.80%,63.4,5.2,221.4,0,43
1996,30,1.9,1.5,80.00%,2.1,2,98.60%,2279,145024,269,11.80%,63.6,4.8,208.9,0,43.1
1995,30,2,1.5,77.40%,2.2,2.1,98.20%,2354,144992,214,9.10%,61.6,4.6,191.9,0,42
1994,28,1.8,1.4,78.90%,2,2,98.80%,2084,125610,146,7.00%,60.3,4.9,204,0,41.8
1993,28,2,1.5,76.60%,2,2,97.20%,1940,116981,505,26.00%,60.3,4.7,200.5,0,42.4
1992,28,1.7,1.3,72.60%,2.1,2.1,98.30%,1893,114011,447,23.60%,60.2,4.6,194.6,0,42.4
