Year,Tms,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg,Pnt,Yds,Blck,Y/P
2020,32,7,7,209,201,268,249,304,245,168,106,960,812,84.60%,1338,1244,93.00%,2757,171876,1687,61.20%,62.3,1901,86722,13,45.6
2019,32,6,6,242,238,265,242,325,232,145,84,983,802,81.60%,1210,1136,93.90%,2603,162335,1585,60.90%,62.4,2159,97611,11,45.2
2018,32,3,3,208,205,289,272,295,225,152,97,947,802,84.70%,1235,1164,94.30%,2634,164869,1601,60.80%,62.6,2214,99544,16,45
2017,32,9,9,243,238,301,258,320,254,154,107,1027,866,84.30%,1134,1066,94.00%,2473,154144,1413,57.10%,62.3,2444,110874,11,45.4
2016,32,9,9,250,242,304,279,296,235,150,85,1009,850,84.20%,1195,1119,93.60%,2632,164751,1516,57.60%,62.6,2335,105867,7,45.3
2015,32,10,10,236,230,272,256,309,234,160,104,987,834,84.50%,1217,1146,94.20%,2627,166348,1470,56.00%,63.3,2440,110322,11,45.2
2014,32,10,10,247,241,302,272,274,212,154,94,987,829,84.00%,1230,1222,99.30%,2607,165670,1311,50.30%,63.5,2387,106896,23,44.8
2013,32,12,12,242,236,295,265,306,254,143,96,998,863,86.50%,1267,1262,99.60%,2684,169138,1309,48.80%,63,2527,113614,18,45
2012,32,16,16,223,215,303,270,323,259,151,92,1016,852,83.90%,1235,1229,99.50%,2620,165870,1156,44.10%,63.3,2469,112314,21,45.5
2011,32,16,16,296,285,259,225,300,222,140,90,1011,838,82.90%,1207,1200,99.40%,2565,163058,1117,43.50%,63.6,2488,112051,9,45
2010,32,19,19,270,257,283,251,284,208,108,59,964,794,82.40%,1214,1203,99.10%,2538,161153,416,16.40%,63.5,2466,107008,13,43.4
2009,32,11,11,273,264,287,240,255,186,104,55,930,756,81.30%,1185,1165,98.30%,2482,159129,400,16.10%,64.1,2451,107993,6,44.1
2008,32,7,7,266,261,321,286,302,225,104,66,1000,845,84.50%,1176,1170,99.50%,2534,161029,368,14.50%,63.5,2307,101330,13,43.9
