Year,Name,POS,Height,Weight,Forty_Yard,Bench_Press,Vert_Leap,Broad_Jump,Shuttle,position_group
1987,Rod Woodson,CB,72.0,202,4.33,10.0,36.0,125.0,3.98,WR_RB_DB
1987,Greg Richardson,WR,67.3,164,4.35,1.0,28.0,113.0,4.21,WR_RB_DB
1987,Eric Thomas,CB,70.3,171,4.38,7.0,35.0,126.0,4.22,WR_RB_DB
1987,Ricky Nattiel,WR,68.9,178,4.41,,32.0,116.0,,WR_RB_DB
1987,Haywood Jeffires,WR,74.1,191,4.41,,,,,WR_RB_DB
1987,Mark Ingram,WR,70.6,188,4.42,8.0,32.0,111.0,4.16,WR_RB_DB
1987,Mike Adams,CB,69.8,198,4.42,13.0,32.0,118.0,4.6,WR_RB_DB
1987,Nate Odomes,CB,69.3,188,4.43,18.0,33.5,119.0,4.3,WR_RB_DB
1987,Curtis Duncan,WR,70.3,180,4.44,12.0,31.0,117.0,4.56,WR_RB_DB
1987,Kenneth Flowers,RB,71.9,211,4.44,14.0,31.0,119.0,4.4,WR_RB_DB
1987,Charles Lockett,WR,70.6,175,4.45,3.0,33.0,113.0,4.39,WR_RB_DB
1987,Brian Davis,CB,73.1,189,4.45,8.0,35.5,119.0,4.17,WR_RB_DB
1987,Mark Carrier,WR,71.8,182,4.46,9.0,30.0,114.0,4.51,WR_RB_DB
1987,Scott Schwedes,WR,71.5,174,4.47,,33.5,116.0,4.16,WR_RB_DB
1987,Kerry Porter,RB,73.6,209,4.47,9.0,32.5,118.0,4.18,WR_RB_DB
1987,Fred Lane,WR,68.4,171,4.48,2.0,25.0,109.0,4.36,WR_RB_DB
1987,Ricky Reynolds,CB,71.6,182,4.48,16.0,30.5,118.0,4.17,WR_RB_DB
1987,Delton Hall,CB,72.0,202,4.48,3.0,30.5,112.0,4.61,WR_RB_DB
1987,Bruce Hill,WR,71.8,173,4.49,,30.5,116.0,4.03,WR_RB_DB
1987,Roland Mitchell,CB,71.1,180,4.49,9.0,32.0,128.0,4.15,WR_RB_DB
1987,Ron Francis,CB,69.4,188,4.49,8.0,34.0,115.0,4.06,WR_RB_DB
1987,Keith Paskett,WR,71.1,180,4.5,4.0,29.0,111.0,4.35,WR_RB_DB
1987,Michael James,WR,70.9,185,4.5,16.0,35.0,117.0,4.37,WR_RB_DB
1987,Cliff Hicks,CB,69.4,192,4.5,8.0,31.5,116.0,4.34,WR_RB_DB
1987,Charles Glaze,SS,71.8,197,4.5,,29.5,115.0,4.5,WR_RB_DB
1987,Frankie Neal,WR,73.3,208,4.51,,35.0,120.0,4.38,WR_RB_DB
1987,Roy Banks,WR,70.1,188,4.52,4.0,32.0,114.0,4.26,WR_RB_DB
1987,Terrence Flagler,RB,71.6,199,4.52,15.0,30.5,113.0,4.41,WR_RB_DB
1987,Thomas Henley,WR,69.3,174,4.53,,31.0,108.0,4.22,WR_RB_DB
